iter	RMSE
0	25.99154872
1	25.35805463
2	24.79722382
3	24.2408022
4	23.71577609
5	23.20856221
6	22.68932666
7	22.2226054
8	21.76575447
9	21.32073049
10	20.84589841
11	20.4193473
12	19.97781281
13	19.60387883
14	19.29489037
15	18.95780052
16	18.61466706
17	18.27396256
18	17.93439995
19	17.60026067
20	17.31342569
21	17.02247014
22	16.75905329
23	16.49841056
24	16.2413952
25	15.96128477
26	15.71548673
27	15.46764047
28	15.23535575
29	14.99819001
30	14.75782393
31	14.53746504
32	14.35593797
33	14.16856245
34	13.97328805
35	13.80527624
36	13.65146338
37	13.47586004
38	13.29761275
39	13.11820881
40	12.94901991
41	12.79879347
42	12.65109084
43	12.51994662
44	12.36657765
45	12.21975452
46	12.07950219
47	11.9465609
48	11.81572899
49	11.68678226
50	11.56567198
51	11.44943047
52	11.33060233
53	11.21487104
54	11.10743447
55	11.00041274
56	10.90420784
57	10.7993834
58	10.68557468
59	10.59799103
60	10.51122198
61	10.42413887
62	10.3452497
63	10.28847426
64	10.21343679
65	10.12864372
66	10.07050041
67	10.00220214
68	9.927447325
69	9.864804014
70	9.790841468
71	9.734535901
72	9.665771821
73	9.581050725
74	9.501859522
75	9.454648112
76	9.385336905
77	9.341527603
78	9.288850165
79	9.219133261
80	9.151594752
81	9.104953742
82	9.051935063
83	8.990416616
84	8.945802756
85	8.893896885
86	8.846069914
87	8.797331132
88	8.762962954
89	8.705787021
90	8.65032607
91	8.60494386
92	8.573482856
93	8.533679659
94	8.489691378
95	8.443625145
96	8.399100281
97	8.361357903
98	8.328021074
99	8.282643428
100	8.234209223
101	8.195000495
102	8.149720721
103	8.116214195
104	8.069634403
105	8.037218628
106	8.009127446
107	7.974481924
108	7.941841966
109	7.91504299
110	7.8868722
111	7.848174677
112	7.820105867
113	7.790486904
114	7.760952501
115	7.721107417
116	7.683501106
117	7.658788514
118	7.628474473
119	7.604032219
120	7.57880971
121	7.551077536
122	7.530571929
123	7.499342793
124	7.474649751
125	7.454344076
126	7.429846963
127	7.400598016
128	7.385201822
129	7.346809051
130	7.323488822
131	7.289985386
132	7.258568425
133	7.232614308
134	7.223304478
135	7.20351956
136	7.180946979
137	7.158246667
138	7.13733227
139	7.125308953
140	7.107115214
141	7.095024046
142	7.067260636
143	7.050273356
144	7.021420731
145	6.997462654
146	6.9783291
147	6.953029341
148	6.928695293
149	6.914877845
150	6.898915884
151	6.881134817
152	6.864414798
153	6.850985193
154	6.834194121
155	6.820720835
156	6.799985175
157	6.781600383
158	6.777729851
159	6.756340428
160	6.734727804
161	6.710876502
162	6.696601553
163	6.68165048
164	6.665891941
165	6.642759294
166	6.617936317
167	6.599991599
168	6.583384473
169	6.569840028
170	6.56290843
171	6.547126277
172	6.528513682
173	6.515228606
174	6.489578172
175	6.469571443
176	6.457107587
177	6.434552381
178	6.424390405
179	6.398391705
180	6.373274491
181	6.362964735
182	6.346881892
183	6.329140147
184	6.323451217
185	6.316559075
186	6.30638084
187	6.297979057
188	6.288174423
189	6.27178375
190	6.242826439
191	6.230819916
192	6.2080785
193	6.189861114
194	6.16259253
195	6.141750018
196	6.126397316
197	6.11975284
198	6.101692463
199	6.075229169
200	6.065149756
201	6.050120191
202	6.034867643
203	6.026131284
204	6.012345388
205	5.984979491
206	5.975205203
207	5.949199522
208	5.932248871
209	5.926436766
210	5.90361655
211	5.881029969
212	5.862672716
213	5.839223605
214	5.827720147
215	5.816921235
216	5.796683348
217	5.772145005
218	5.754041032
219	5.730352489
220	5.712725529
221	5.70005275
222	5.681445407
223	5.666618385
224	5.655751884
225	5.639396195
226	5.624568516
227	5.605811978
228	5.595255174
229	5.578343719
230	5.573146577
231	5.560457213
232	5.539142904
233	5.518048786
234	5.510727498
235	5.504830842
236	5.499487455
237	5.494797962
238	5.479113401
239	5.474722579
240	5.453711268
241	5.439442315
242	5.418137436
243	5.402429503
244	5.395417493
245	5.381033894
246	5.362857564
247	5.343625976
248	5.336908893
249	5.324802084
250	5.313476172
251	5.293704696
252	5.28827965
253	5.271947107
254	5.25366879
255	5.237137802
256	5.226440482
257	5.213183383
258	5.197181947
259	5.192211681
260	5.178948988
261	5.161152715
262	5.144851769
263	5.13156745
264	5.117181802
265	5.10436753
266	5.089732939
267	5.074269403
268	5.05892821
269	5.046672118
270	5.033726771
271	5.016820065
272	5.012893124
273	5.008880814
274	4.990455104
275	4.982015388
276	4.970773801
277	4.967122127
278	4.953005383
279	4.936244779
280	4.932442907
281	4.91666165
282	4.902895997
283	4.888057436
284	4.875422476
285	4.860374491
286	4.845064561
287	4.830722453
288	4.824287379
289	4.816777552
290	4.80248435
291	4.787596172
292	4.779436184
293	4.76791693
294	4.755714624
295	4.750991182
296	4.73534791
297	4.723971739
298	4.712298851
299	4.708566012
300	4.699632562
301	4.688644391
302	4.673521196
303	4.659302086
304	4.648434965
305	4.63801181
306	4.633100369
307	4.623143176
308	4.615014593
309	4.612177132
310	4.600117097
311	4.595231246
312	4.584184754
313	4.573171442
314	4.563439451
315	4.553110669
316	4.539529874
317	4.532961906
318	4.521087867
319	4.509785714
320	4.50251538
321	4.492456584
322	4.479588378
323	4.471740937
324	4.461423874
325	4.452883317
326	4.447824424
327	4.437883071
328	4.435192507
329	4.419317499
330	4.409926647
331	4.398583724
332	4.385256463
333	4.373715964
334	4.366867566
335	4.357219186
336	4.347783267
337	4.337918518
338	4.335299943
339	4.326416234
340	4.323779798
341	4.315880456
342	4.303689494
343	4.292731389
344	4.284759299
345	4.275308795
346	4.264368293
347	4.258451061
348	4.251429061
349	4.249117758
350	4.239268999
351	4.230892559
352	4.221638707
353	4.211721777
354	4.202477723
355	4.192047678
356	4.183341105
357	4.18128366
358	4.168869607
359	4.159971837
360	4.150330232
361	4.143527017
362	4.141238587
363	4.133041336
364	4.131135402
365	4.120596878
366	4.110744033
367	4.107474337
368	4.10196971
369	4.092698751
370	4.08362928
371	4.077089755
372	4.072183674
373	4.070806371
374	4.062474367
375	4.052928449
376	4.045628135
377	4.044345409
378	4.035676519
379	4.025478024
380	4.019535715
381	4.00954664
382	3.999086735
383	3.992909004
384	3.983531687
385	3.971083207
386	3.963206015
387	3.953051747
388	3.947738362
389	3.946151121
390	3.945001788
391	3.94329278
392	3.932562603
393	3.925602364
394	3.924539702
395	3.917903843
396	3.912052984
397	3.902939255
398	3.898323197
399	3.896134027
400	3.89451278
401	3.8907533
402	3.880222284
403	3.879209972
404	3.878343297
405	3.876307945
406	3.874950482
407	3.87381887
408	3.873046001
409	3.871984551
410	3.87113192
411	3.86840733
412	3.85871743
413	3.852827508
414	3.851708873
415	3.847614294
416	3.838233222
417	3.830616046
418	3.821830133
419	3.818595675
420	3.810177885
421	3.808584562
422	3.798242009
423	3.787717716
424	3.78602609
425	3.784794948
426	3.771596612
427	3.762112272
428	3.760489381
429	3.752462264
430	3.748508308
431	3.747908288
432	3.746235538
433	3.740992079
434	3.733890842
435	3.733304063
436	3.726334025
437	3.716413021
438	3.711811165
439	3.702830754
440	3.697264724
441	3.685969818
442	3.678715794
443	3.669969805
444	3.663538979
445	3.657400258
446	3.649386382
447	3.641600508
448	3.631330414
449	3.623983304
450	3.618972393
451	3.615768562
452	3.607475067
453	3.597007504
454	3.5911404
455	3.581353298
456	3.575433186
457	3.566702234
458	3.560595185
459	3.552974476
460	3.547211584
461	3.535982078
462	3.528021802
463	3.518584271
464	3.506962345
465	3.498888792
466	3.49433323
467	3.484785419
468	3.476758934
469	3.475624574
470	3.467363869
471	3.459963029
472	3.452187098
473	3.445084604
474	3.43905065
475	3.431577759
476	3.426080331
477	3.41966544
478	3.418492307
479	3.416576304
480	3.410285371
481	3.409638976
482	3.409002533
483	3.397306257
484	3.394282496
485	3.390804449
486	3.390211896
487	3.386366161
488	3.37703703
489	3.375411926
490	3.369136256
491	3.364091987
492	3.358474386
493	3.350120621
494	3.344317698
495	3.335168416
496	3.32593239
497	3.319834797
498	3.314173
499	3.306715027
500	3.300653507
501	3.292411668
502	3.284319292
503	3.274512201
504	3.267891456
505	3.2588717
506	3.251864133
507	3.249018324
508	3.244091521
509	3.237315695
510	3.229546101
511	3.220103379
512	3.21415371
513	3.212975135
514	3.206616156
515	3.200547475
516	3.19431504
517	3.188522415
518	3.180842136
519	3.17451459
520	3.168888688
521	3.160750343
522	3.153830659
523	3.146678101
524	3.139956945
525	3.134340848
526	3.128735622
527	3.122710071
528	3.116074851
529	3.105274986
530	3.0999232
531	3.093502665
532	3.089115916
533	3.084699878
534	3.080086666
535	3.071641861
536	3.061003312
537	3.054585514
538	3.052235631
539	3.046318597
540	3.041680857
541	3.03468731
542	3.025137873
543	3.023586374
544	3.017965019
545	3.010677038
546	3.003406514
547	2.997663146
548	2.996341199
549	2.995626742
550	2.988884158
551	2.98304208
552	2.97385501
553	2.97071995
554	2.96466483
555	2.958517751
556	2.95312401
557	2.948670703
558	2.944365842
559	2.940730384
560	2.935009243
561	2.933977572
562	2.927754639
563	2.921960726
564	2.913657823
565	2.906516083
566	2.902251394
567	2.894717569
568	2.888395867
569	2.887415044
570	2.880802032
571	2.875372019
572	2.870616548
573	2.869530479
574	2.862035737
575	2.857467737
576	2.852811624
577	2.846766499
578	2.84046482
579	2.83642946
580	2.831907615
581	2.830673869
582	2.825398653
583	2.8187691
584	2.814218153
585	2.810892406
586	2.803353748
587	2.798760663
588	2.793211787
589	2.78990988
590	2.788317064
591	2.782187996
592	2.77552259
593	2.769812179
594	2.765885591
595	2.759479553
596	2.75438939
597	2.75312293
598	2.746933739
599	2.74151922
600	2.732386305
601	2.725710539
602	2.720823119
603	2.715545789
604	2.710797594
605	2.707395417
606	2.701095381
607	2.696536617
608	2.695727402
609	2.694854328
610	2.689204664
611	2.683736067
612	2.678956231
613	2.673737107
614	2.672709186
615	2.668043296
616	2.666992374
617	2.66313705
618	2.661977203
619	2.656961094
620	2.652554427
621	2.648754755
622	2.645844877
623	2.641371457
624	2.635910337
625	2.629847425
626	2.624265285
627	2.622273676
628	2.618286676
629	2.613229837
630	2.607854635
631	2.606967179
632	2.605774532
633	2.601996025
634	2.600277943
635	2.596902971
636	2.593147971
637	2.58754737
638	2.584855776
639	2.58409099
640	2.58132919
641	2.578682461
642	2.578111441
643	2.573998304
644	2.573215525
645	2.56856993
646	2.562805462
647	2.557304022
648	2.556309715
649	2.553195077
650	2.552651357
651	2.551991374
652	2.546447875
653	2.54042052
654	2.535826539
655	2.535070348
656	2.531344068
657	2.526328482
658	2.521384153
659	2.516498096
660	2.512234881
661	2.507489617
662	2.506978126
663	2.503451509
664	2.497630792
665	2.497168839
666	2.493159077
667	2.488483994
668	2.483148467
669	2.477734595
670	2.472336279
671	2.467454606
672	2.466812605
673	2.464334835
674	2.462829138
675	2.458135172
676	2.452808843
677	2.447351878
678	2.443908391
679	2.439820433
680	2.43569776
681	2.431098749
682	2.427095157
683	2.425634262
684	2.424649729
685	2.423982701
686	2.421591069
687	2.416618294
688	2.411416191
689	2.408245899
690	2.407639964
691	2.404087668
692	2.403634214
693	2.397725647
694	2.393255396
695	2.388454191
696	2.385834957
697	2.380857864
698	2.378103092
699	2.374973053
700	2.374455765
701	2.373951071
702	2.369418945
703	2.365047888
704	2.362297138
705	2.359408856
706	2.355004331
707	2.354519043
708	2.351748901
709	2.350618251
710	2.347054276
711	2.340982495
712	2.335575271
713	2.335118852
714	2.331440054
715	2.330915155
716	2.329913096
717	2.325776133
718	2.324969625
719	2.321312115
720	2.317030393
721	2.314439707
722	2.309251525
723	2.303596846
724	2.298919522
725	2.295851801
726	2.292972279
727	2.287625265
728	2.283035649
729	2.280573257
730	2.27559618
731	2.275088938
732	2.274197564
733	2.270260713
734	2.269180047
735	2.26379302
736	2.260334834
737	2.259824903
738	2.257337448
739	2.256540555
740	2.252690475
741	2.248996913
742	2.244285051
743	2.239746195
744	2.239083021
745	2.235177898
746	2.232032648
747	2.228555807
748	2.224380673
749	2.219730452
750	2.214814454
751	2.211348605
752	2.210628679
753	2.206702465
754	2.203539803
755	2.201117241
756	2.197283157
757	2.19292096
758	2.188100075
759	2.183864099
760	2.179513933
761	2.179067004
762	2.178394202
763	2.173628626
764	2.169273273
765	2.167194367
766	2.162648101
767	2.162303996
768	2.161957956
769	2.158799111
770	2.15520608
771	2.154548919
772	2.150988489
773	2.146189597
774	2.141159774
775	2.136835468
776	2.135667704
777	2.135013891
778	2.134503017
779	2.13032489
780	2.130019394
781	2.127035374
782	2.126517518
783	2.120824056
784	2.116642852
785	2.112125851
786	2.108325349
787	2.105175514
788	2.102568845
789	2.102130032
790	2.098107979
791	2.094235908
792	2.090764432
793	2.090299409
794	2.089842063
795	2.086042647
796	2.08175607
797	2.080729452
798	2.076098128
799	2.072689587
800	2.069188595
801	2.063288017
802	2.0593585
803	2.055531812
804	2.052295725
805	2.048464378
806	2.045476134
807	2.041707324
808	2.036552099
809	2.031622543
810	2.029040584
811	2.025884255
812	2.024038861
813	2.021235657
814	2.017476976
815	2.013464879
816	2.009662323
817	2.00492838
818	2.003977262
819	2.003074832
820	1.999050899
821	1.994938828
822	1.990347812
823	1.988211161
824	1.984605188
825	1.980230563
826	1.975335222
827	1.97084596
828	1.968108153
829	1.964597669
830	1.962680855
831	1.958940942
832	1.955272413
833	1.954925702
834	1.952819064
835	1.949342567
836	1.944568674
837	1.941962752
838	1.938576247
839	1.936340518
840	1.934240618
841	1.931306729
842	1.927466232
843	1.925138157
844	1.921143421
845	1.918770942
846	1.915456806
847	1.91264714
848	1.911426252
849	1.907914846
850	1.907605081
851	1.906174066
852	1.902387397
853	1.898801324
854	1.894008584
855	1.893705821
856	1.890570837
857	1.888005363
858	1.886180316
859	1.883892304
860	1.883632106
861	1.880224138
862	1.87980839
863	1.875818356
864	1.873333359
865	1.872901866
866	1.870119362
867	1.867316354
868	1.864256621
869	1.862393729
870	1.859742129
871	1.857023226
872	1.854437389
873	1.850922481
874	1.848171578
875	1.847806053
876	1.845270728
877	1.842658209
878	1.840551989
879	1.839126321
880	1.83831003
881	1.835846662
882	1.835206454
883	1.831330639
884	1.827905842
885	1.827603749
886	1.82522945
887	1.822699839
888	1.822378829
889	1.822128719
890	1.821874037
891	1.817501434
892	1.814173039
893	1.811648225
894	1.811357069
895	1.808535439
896	1.808281599
897	1.808021585
898	1.805512585
899	1.805155318
900	1.80249934
901	1.799850729
902	1.79682935
903	1.796353869
904	1.795905018
905	1.793503952
906	1.792053968
907	1.789028384
908	1.785811182
909	1.783756274
910	1.781247661
911	1.777511898
912	1.774997306
913	1.773002667
914	1.770108175
915	1.768749429
916	1.768414261
917	1.766847318
918	1.764508197
919	1.762823423
920	1.761323309
921	1.758255412
922	1.755730776
923	1.751906422
924	1.748244527
925	1.745043424
926	1.742280621
927	1.740546626
928	1.737425723
929	1.734688204
930	1.73301788
931	1.729252949
932	1.726301161
933	1.725515933
934	1.72132127
935	1.718479613
936	1.714938876
937	1.711093472
938	1.708492919
