iter	Passed	Remaining
0	11	11867
1	29	14943
2	50	16645
3	62	15597
4	77	15500
5	87	14577
6	97	13795
7	106	13234
8	116	12833
9	125	12427
10	134	12078
11	143	11791
12	152	11574
13	161	11390
14	170	11218
15	180	11076
16	189	10957
17	199	10870
18	209	10835
19	218	10717
20	227	10618
21	236	10534
22	246	10471
23	255	10398
24	265	10335
25	274	10271
26	283	10212
27	292	10160
28	301	10109
29	312	10089
30	323	10097
31	333	10097
32	343	10066
33	353	10045
34	363	10014
35	372	9974
36	381	9936
37	391	9905
38	400	9876
39	410	9841
40	420	9828
41	430	9813
42	439	9792
43	449	9764
44	458	9737
45	468	9713
46	478	9703
47	487	9674
48	496	9642
49	506	9617
50	515	9587
51	524	9562
52	533	9537
53	543	9523
54	552	9497
55	561	9471
56	571	9447
57	580	9422
58	589	9401
59	598	9377
60	607	9353
61	616	9332
62	625	9309
63	635	9288
64	644	9271
65	653	9252
66	662	9230
67	671	9208
68	681	9195
69	690	9179
70	700	9163
71	709	9144
72	718	9121
73	728	9111
74	737	9094
75	746	9077
76	756	9072
77	766	9056
78	775	9041
79	784	9022
80	794	9011
81	803	9000
82	814	8995
83	824	8995
84	834	8982
85	845	8982
86	854	8968
87	865	8971
88	877	8980
89	888	8982
90	898	8973
91	909	8978
92	920	8974
93	930	8967
94	942	8973
95	952	8971
96	962	8963
97	973	8960
98	984	8957
99	996	8964
100	1006	8957
101	1018	8964
102	1030	8974
103	1042	8979
104	1054	8991
105	1066	8995
106	1078	9001
107	1092	9019
108	1104	9026
109	1115	9022
110	1137	9107
111	1155	9161
112	1171	9198
113	1187	9231
114	1199	9228
115	1209	9218
116	1219	9204
117	1229	9186
118	1238	9170
119	1247	9151
120	1257	9131
121	1267	9123
122	1277	9106
123	1286	9089
124	1296	9072
125	1305	9054
126	1314	9036
127	1323	9018
128	1333	9004
129	1343	8989
130	1352	8972
131	1362	8957
132	1372	8950
133	1385	8954
134	1397	8953
135	1408	8948
136	1419	8944
137	1431	8940
138	1441	8928
139	1452	8921
140	1463	8916
141	1474	8907
142	1485	8901
143	1495	8889
144	1505	8877
145	1516	8868
146	1526	8857
147	1536	8843
148	1545	8829
149	1555	8815
150	1565	8800
151	1575	8787
152	1584	8770
153	1593	8753
154	1603	8740
155	1612	8725
156	1621	8708
157	1631	8692
158	1640	8675
159	1649	8661
160	1659	8645
161	1668	8633
162	1681	8635
163	1690	8617
164	1699	8601
165	1708	8586
166	1718	8573
167	1728	8562
168	1738	8549
169	1748	8537
170	1758	8522
171	1768	8512
172	1778	8500
173	1788	8489
174	1798	8477
175	1808	8467
176	1819	8459
177	1829	8450
178	1840	8440
179	1851	8435
180	1862	8428
181	1873	8418
182	1884	8414
183	1895	8406
184	1906	8400
185	1918	8394
186	1928	8385
187	1939	8376
188	1950	8370
189	1960	8356
190	1971	8352
191	1982	8341
192	1992	8330
193	2003	8322
194	2013	8313
195	2023	8301
196	2034	8291
197	2043	8277
198	2053	8264
199	2063	8252
200	2072	8239
201	2082	8226
202	2091	8211
203	2100	8196
204	2110	8184
205	2119	8170
206	2129	8157
207	2139	8145
208	2148	8131
209	2158	8119
210	2167	8106
211	2177	8093
212	2187	8080
213	2197	8072
214	2207	8059
215	2216	8045
216	2225	8031
217	2235	8018
218	2244	8005
219	2254	7992
220	2263	7979
221	2273	7965
222	2282	7951
223	2291	7939
224	2302	7929
225	2311	7916
226	2321	7903
227	2330	7889
228	2339	7876
229	2348	7863
230	2358	7852
231	2369	7842
232	2378	7830
233	2388	7818
234	2398	7806
235	2407	7792
236	2416	7779
237	2426	7768
238	2436	7757
239	2446	7747
240	2456	7736
241	2466	7725
242	2476	7715
243	2486	7704
244	2496	7691
245	2505	7680
246	2515	7667
247	2524	7654
248	2533	7642
249	2543	7630
250	2552	7618
251	2562	7604
252	2571	7593
253	2581	7580
254	2591	7569
255	2600	7557
256	2609	7545
257	2619	7532
258	2628	7520
259	2637	7507
260	2646	7493
261	2655	7480
262	2665	7470
263	2674	7457
264	2684	7444
265	2693	7431
266	2702	7419
267	2712	7408
268	2721	7396
269	2731	7384
270	2740	7371
271	2749	7358
272	2758	7346
273	2767	7334
274	2777	7322
275	2786	7309
276	2796	7298
277	2805	7286
278	2815	7274
279	2824	7262
280	2833	7250
281	2842	7238
282	2852	7225
283	2861	7213
284	2870	7201
285	2879	7189
286	2889	7177
287	2899	7168
288	2910	7161
289	2921	7153
290	2930	7140
291	2940	7128
292	2949	7117
293	2959	7107
294	2969	7096
295	2978	7084
296	2987	7071
297	2996	7059
298	3015	7068
299	3024	7057
300	3033	7045
301	3043	7034
302	3053	7024
303	3062	7011
304	3072	7000
305	3081	6988
306	3090	6976
307	3100	6966
308	3110	6955
309	3119	6943
310	3129	6932
311	3138	6921
312	3148	6909
313	3159	6903
314	3168	6891
315	3178	6879
316	3188	6870
317	3197	6858
318	3207	6847
319	3217	6836
320	3226	6824
321	3235	6812
322	3244	6800
323	3253	6788
324	3263	6778
325	3272	6766
326	3281	6754
327	3290	6742
328	3299	6729
329	3308	6717
330	3318	6706
331	3327	6695
332	3337	6684
333	3346	6673
334	3355	6660
335	3364	6648
336	3373	6637
337	3382	6625
338	3391	6613
339	3401	6602
340	3410	6590
341	3419	6579
342	3429	6568
343	3438	6556
344	3446	6544
345	3456	6533
346	3465	6521
347	3475	6510
348	3485	6500
349	3494	6489
350	3503	6477
351	3512	6466
352	3521	6454
353	3531	6444
354	3540	6433
355	3550	6421
356	3559	6411
357	3569	6400
358	3578	6388
359	3587	6377
360	3596	6366
361	3605	6354
362	3614	6343
363	3623	6331
364	3634	6322
365	3643	6310
366	3652	6299
367	3661	6287
368	3670	6276
369	3681	6268
370	3690	6257
371	3700	6246
372	3709	6235
373	3718	6223
374	3727	6212
375	3737	6201
376	3746	6190
377	3755	6179
378	3765	6169
379	3774	6158
380	3783	6146
381	3792	6135
382	3801	6124
383	3811	6114
384	3820	6102
385	3829	6092
386	3839	6081
387	3848	6070
388	3857	6059
389	3866	6047
390	3875	6036
391	3885	6025
392	3894	6014
393	3903	6004
394	3912	5992
395	3922	5982
396	3931	5971
397	3940	5960
398	3949	5949
399	3958	5938
400	3968	5927
401	3977	5916
402	3986	5906
403	3995	5894
404	4005	5884
405	4014	5873
406	4024	5863
407	4032	5851
408	4042	5841
409	4051	5830
410	4060	5819
411	4070	5809
412	4079	5798
413	4088	5786
414	4097	5776
415	4106	5765
416	4116	5754
417	4126	5744
418	4136	5736
419	4146	5726
420	4156	5716
421	4165	5705
422	4175	5695
423	4187	5688
424	4196	5677
425	4205	5666
426	4214	5655
427	4224	5645
428	4233	5634
429	4242	5623
430	4251	5613
431	4261	5602
432	4270	5591
433	4279	5581
434	4288	5570
435	4297	5559
436	4307	5549
437	4317	5539
438	4326	5528
439	4335	5517
440	4344	5507
441	4354	5497
442	4363	5486
443	4373	5476
444	4382	5465
445	4391	5454
446	4400	5444
447	4409	5433
448	4420	5424
449	4431	5416
450	4441	5406
451	4451	5396
452	4460	5385
453	4469	5375
454	4478	5364
455	4488	5354
456	4497	5344
457	4506	5333
458	4516	5323
459	4527	5315
460	4537	5305
461	4547	5294
462	4556	5284
463	4565	5274
464	4574	5263
465	4583	5252
466	4592	5241
467	4602	5231
468	4611	5220
469	4620	5210
470	4629	5199
471	4638	5188
472	4648	5178
473	4657	5168
474	4666	5158
475	4678	5150
476	4687	5139
477	4696	5129
478	4705	5118
479	4715	5107
480	4724	5097
481	4733	5086
482	4742	5076
483	4752	5066
484	4761	5055
485	4770	5045
486	4779	5034
487	4788	5024
488	4798	5014
489	4808	5004
490	4817	4994
491	4827	4984
492	4836	4973
493	4845	4963
494	4854	4952
495	4864	4943
496	4873	4932
497	4883	4922
498	4892	4912
499	4901	4901
500	4910	4891
501	4919	4880
502	4929	4870
503	4938	4860
504	4947	4849
505	4957	4839
506	4966	4829
507	4976	4819
508	4985	4809
509	4994	4798
510	5005	4790
511	5014	4779
512	5023	4769
513	5033	4758
514	5042	4748
515	5051	4738
516	5060	4727
517	5071	4718
518	5080	4708
519	5089	4697
520	5098	4687
521	5108	4677
522	5117	4667
523	5127	4657
524	5137	4648
525	5147	4638
526	5156	4628
527	5165	4617
528	5175	4608
529	5185	4598
530	5195	4589
531	5204	4578
532	5214	4568
533	5224	4558
534	5233	4548
535	5242	4538
536	5252	4528
537	5261	4518
538	5270	4508
539	5279	4497
540	5289	4487
541	5298	4476
542	5307	4466
543	5316	4456
544	5326	4446
545	5335	4436
546	5344	4426
547	5353	4416
548	5363	4405
549	5372	4395
550	5382	4385
551	5391	4375
552	5400	4365
553	5410	4355
554	5419	4345
555	5428	4335
556	5437	4324
557	5447	4314
558	5457	4305
559	5466	4295
560	5476	4285
561	5485	4275
562	5494	4265
563	5504	4254
564	5513	4244
565	5523	4235
566	5532	4225
567	5541	4214
568	5550	4204
569	5559	4194
570	5569	4184
571	5578	4174
572	5588	4164
