Model,Train_R2,Train_RMSE,Train_MAE,Test_R2,Test_RMSE,Test_MAE
LinearRegression,0.9503697019161382,0.22164877613773445,0.16071060503531934,0.9247837135949467,0.27739873595242326,0.19588048491120158
RandomForestRegressor,0.993472033191873,0.08038608252518809,0.05268571513002776,0.9479707352374587,0.23071316572968947,0.1474162996398505
GradientBoostingRegressor,0.9796513336950836,0.14192531629700048,0.10686733749684166,0.9537802219429784,0.21745152705093485,0.14947522997894047
SVR,0.9853160962111359,0.12056261547636164,0.0855362161431556,0.9365194055669459,0.2548408391103876,0.13874583769823154
MLPRegressor,0.9955375741868381,0.06646261126683464,0.047212700281678746,0.9012858107576042,0.3177886085653163,0.15186291058244597
Ridge,0.9452896064002905,0.23271630646258756,0.16909084508711056,0.9257957234705096,0.2755262628286328,0.19664247706343557
Lasso,0.9375174792813532,0.24869735520876718,0.182229315300663,0.9173262466326446,0.2908254183224683,0.20395512182048736
ElasticNet,0.9409611778394821,0.24174680227566409,0.17649896957083336,0.9222981731624746,0.2819448386951881,0.19942124301484554
XGBRegressor,0.9993909166761084,0.024554452241488813,0.01513982313041245,0.9602751827774157,0.2015948753035826,0.12577955464842908
LGBMRegressor,0.9993348661719729,0.025659395093882167,0.014890086827970857,0.9623661248559945,0.19621762007871563,0.1210682031634495
CatBoostRegressor,0.99675153575169,0.056706251736854195,0.04258467659838376,0.9646813248790518,0.19008626439046838,0.11539369015467164
